pm10,date,temperature_2m,relativehumidity_2m,windspeed_10m
30.0,2023-03-05 13:00:00,7.4,58.0,9.2
7.0,2023-03-08 22:00:00,7.8,82.0,20.6
33.0,2023-03-12 21:00:00,4.668407310704956,77.81462140992167,9.1639686684073
44.0,2023-02-24 20:00:00,7.3,77.0,21.9
4.0,2023-02-26 21:00:00,0.7,62.0,18.0
19.0,2023-03-03 04:00:00,0.3,99.0,2.2
23.0,2023-03-03 02:00:00,0.7,99.0,3.4
40.0,2023-03-13 09:00:00,4.668407310704956,77.81462140992167,9.1639686684073
10.0,2023-02-27 10:00:00,1.7,50.0,16.1
26.0,2023-03-01 01:00:00,0.8,76.0,8.7
7.0,2023-03-14 03:00:00,4.668407310704956,77.81462140992167,9.1639686684073
2.0,2023-03-11 12:00:00,4.668407310704956,77.81462140992167,9.1639686684073
25.0,2023-03-03 15:00:00,8.5,66.0,3.3
20.0,2023-03-03 06:00:00,0.9,99.0,3.6
28.0,2023-03-02 19:00:00,4.6,79.0,4.9
6.0,2023-03-15 18:00:00,4.668407310704956,77.81462140992167,9.1639686684073
24.0,2023-03-12 19:00:00,4.668407310704956,77.81462140992167,9.1639686684073
42.0,2023-03-05 19:00:00,3.1,81.0,6.5
30.0,2023-03-03 19:00:00,3.8,91.0,4.7
6.0,2023-03-15 08:00:00,4.668407310704956,77.81462140992167,9.1639686684073
14.0,2023-02-25 16:00:00,7.7,71.0,6.7
7.0,2023-03-12 13:00:00,4.668407310704956,77.81462140992167,9.1639686684073
22.0,2023-03-10 09:00:00,4.668407310704956,77.81462140992167,9.1639686684073
12.0,2023-03-13 05:00:00,4.668407310704956,77.81462140992167,9.1639686684073
19.0,2023-03-01 04:00:00,0.8,73.0,9.5
4.0,2023-03-11 18:00:00,4.668407310704956,77.81462140992167,9.1639686684073
49.0,2023-02-23 20:00:00,5.3,94.0,6.9
17.0,2023-02-22 05:00:00,1.9,90.0,4.3
5.0,2023-03-11 02:00:00,4.668407310704956,77.81462140992167,9.1639686684073
18.0,2023-03-13 01:00:00,4.668407310704956,77.81462140992167,9.1639686684073
9.0,2023-03-09 03:00:00,6.8,86.0,22.0
9.0,2023-03-13 14:00:00,4.668407310704956,77.81462140992167,9.1639686684073
20.0,2023-03-03 12:00:00,8.0,71.0,4.1
13.0,2023-03-10 02:00:00,4.668407310704956,77.81462140992167,9.1639686684073
34.0,2023-03-06 11:00:00,7.5,59.0,2.9
38.0,2023-02-24 08:00:00,5.4,82.0,10.7
10.0,2023-03-13 16:00:00,4.668407310704956,77.81462140992167,9.1639686684073
